Unnamed: 0,dir_name,old_fname,new_fname,old_string,new_string
59,/src/unit_test_stubs/csm_share,shr_mpi_mod_stub.F90,shr_mpi_mod_stub.F90,shr_mpi_mod,shr_mpi_mod
60,/src/unit_test_stubs/csm_share,mct_mod_stub.F90,mct_mod_stub.F90,mct_mod,mct_mod
61,/src/unit_test_stubs/utils,clmfates_paraminterfaceMod_stub.F90,ctsm_FatesParamInterface_stub.F90,CLMFatesParamInterfaceMod,ctsm_FatesParamInterface
62,/src/unit_test_stubs/utils,spmdMod_stub.F90,ctsm_Spmd_stub.F90,spmdMod,ctsm_Spmd
63,/src/unit_test_stubs/dyn_subgrid,dynFileMod_stub.F90,ctsm_DynFile_stub.F90,dynFileMod,ctsm_DynFile
64,/src/utils,NumericsMod.F90,ctsm_Numerics.F90,NumericsMod,ctsm_Numerics
65,/src/utils,clm_time_manager.F90,ctsm_TimeManager.F90,clm_time_manager,ctsm_TimeManager
66,/src/utils,IssueFixedMetadataHandler.F90,ctsm_IssueFixedMetadataHandler.F90,IssueFixedMetadataHandler,ctsm_IssueFixedMetadataHandler
67,/src/utils,SimpleMathMod.F90,ctsm_SimpleMath.F90,SimpleMathMod,ctsm_SimpleMath
68,/src/utils,clm_varorb.F90,ctsm_VarOrb.F90,clm_varorb,ctsm_VarOrb
69,/src/utils,getdatetime.F90,ctsm_GetDateTime.F90,getdatetime,ctsm_GetDateTime
70,/src/utils,spmdMod.F90,ctsm_Spmd.F90,spmdMod,ctsm_Spmd
71,/src/utils,clm_nlUtilsMod.F90,ctsm_NlUtils.F90,clm_nlUtilsMod,ctsm_NlUtils
72,/src/utils,AnnualFluxDribbler.F90,ctsm_AnnualFluxDribbler.F90,AnnualFluxDribbler,ctsm_AnnualFluxDribbler
73,/src/utils,domainMod.F90,ctsm_Domain.F90,domainMod,ctsm_Domain
74,/src/utils,clmfates_paraminterfaceMod.F90,ctsm_FatesParamInterface.F90,CLMFatesParamInterfaceMod,ctsm_FatesParamInterface
75,/src/utils,fileutils.F90,ctsm_FileUtils.F90,fileutils,ctsm_FileUtils
76,/src/utils,quadraticMod.F90,ctsm_QuadraticSolver.F90,quadraticMod,ctsm_QuadraticSolver
77,/src/utils,clmfates_interfaceMod.F90,ctsm_FatesInterface.F90,CLMFatesInterfaceMod,ctsm_FatesInterface
78,/src/utils,spmdGathScatMod.F90,ctsm_SpmdGathScat.F90,spmdGathScatMod,ctsm_SpmdGathScat
79,/src/soilbiogeochem,SoilBiogeochemNStateUpdate1Mod.F90,ctsm_SoilBiogeochemNStateUpdate1.F90,SoilBiogeochemNStateUpdate1Mod,ctsm_SoilBiogeochemNStateUpdate1
80,/src/soilbiogeochem,SoilBiogeochemNitrifDenitrifMod.F90,ctsm_SoilBiogeochemNitrifDenitrif.F90,SoilBiogeochemNitrifDenitrifMod,ctsm_SoilBiogeochemNitrifDenitrif
81,/src/soilbiogeochem,SoilBiogeochemCompetitionMod.F90,ctsm_SoilBiogeochemCompetition.F90,SoilBiogeochemCompetitionMod,ctsm_SoilBiogeochemCompetition
82,/src/soilbiogeochem,SoilBiogeochemPotentialMod.F90,ctsm_SoilBiogeochemPotential.F90,SoilBiogeochemPotentialMod,ctsm_SoilBiogeochemPotential
83,/src/soilbiogeochem,SoilBiogeochemDecompCascadeBGCMod.F90,ctsm_SoilBiogeochemDecompCascadeBGC.F90,SoilBiogeochemDecompCascadeBGCMod,ctsm_SoilBiogeochemDecompCascadeBGC
84,/src/soilbiogeochem,SoilBiogeochemStateType.F90,ctsm_SoilBiogeochemStateType.F90,SoilBiogeochemStateType,ctsm_SoilBiogeochemStateType
85,/src/soilbiogeochem,SoilBiogeochemDecompCascadeConType.F90,ctsm_SoilBiogeochemDecompCascadeConType.F90,SoilBiogeochemDecompCascadeConType,ctsm_SoilBiogeochemDecompCascadeConType
86,/src/soilbiogeochem,SoilBiogeochemCarbonStateType.F90,ctsm_SoilBiogeochemCarbonStateType.F90,SoilBiogeochemCarbonStateType,ctsm_SoilBiogeochemCarbonStateType
87,/src/soilbiogeochem,SoilBiogeochemLittVertTranspMod.F90,ctsm_SoilBiogeochemLittVertTransp.F90,SoilBiogeochemLittVertTranspMod,ctsm_SoilBiogeochemLittVertTransp
88,/src/soilbiogeochem,SoilBiogeochemPrecisionControlMod.F90,ctsm_SoilBiogeochemPrecisionControl.F90,SoilBiogeochemPrecisionControlMod,ctsm_SoilBiogeochemPrecisionControl
89,/src/soilbiogeochem,SoilBiogeochemNLeachingMod.F90,ctsm_SoilBiogeochemNLeaching.F90,SoilBiogeochemNLeachingMod,ctsm_SoilBiogeochemNLeaching
90,/src/soilbiogeochem,SoilBiogeochemNitrogenFluxType.F90,ctsm_SoilBiogeochemNitrogenFluxType.F90,SoilBiogeochemNitrogenFluxType,ctsm_SoilBiogeochemNitrogenFluxType
91,/src/soilbiogeochem,SoilBiogeochemDecompCascadeCNMod.F90,ctsm_SoilBiogeochemDecompCascadeCN.F90,SoilBiogeochemDecompCascadeCNMod,ctsm_SoilBiogeochemDecompCascadeCN
92,/src/soilbiogeochem,SoilBiogeochemCarbonFluxType.F90,ctsm_SoilBiogeochemCarbonFluxType.F90,SoilBiogeochemCarbonFluxType,ctsm_SoilBiogeochemCarbonFluxType
93,/src/soilbiogeochem,SoilBiogeochemNitrogenUptakeMod.F90,ctsm_SoilBiogeochemNitrogenUptake.F90,SoilBiogeochemNitrogenUptakeMod,ctsm_SoilBiogeochemNitrogenUptake
94,/src/soilbiogeochem,SoilBiogeochemNitrogenStateType.F90,ctsm_SoilBiogeochemNitrogenStateType.F90,SoilBiogeochemNitrogenStateType,ctsm_SoilBiogeochemNitrogenStateType
95,/src/soilbiogeochem,SoilBiogeochemDecompMod.F90,ctsm_SoilBiogeochemDecomp.F90,SoilBiogeochemDecompMod,ctsm_SoilBiogeochemDecomp
96,/src/soilbiogeochem,SoilBiogeochemVerticalProfileMod.F90,ctsm_SoilBiogeochemVerticalProfile.F90,SoilBiogeochemVerticalProfileMod,ctsm_SoilBiogeochemVerticalProfile
97,/src/unit_test_shr,unittestSimpleSubgridSetupsMod.F90,ctsm_UnitTestSimpleSubgridSetups.F90,unittestSimpleSubgridSetupsMod,ctsm_UnitTestSimpleSubgridSetups
98,/src/unit_test_shr,unittestFilterBuilderMod.F90,ctsm_UnitTestFilterBuilder.F90,unittestFilterBuilderMod,ctsm_UnitTestFilterBuilder
99,/src/unit_test_shr,unittestUtils.F90,ctsm_UnitTestUtils.F90,unittestUtils,ctsm_UnitTestUtils
100,/src/unit_test_shr,unittestSubgridMod.F90,ctsm_UnitTestSubgrid.F90,unittestSubgridMod,ctsm_UnitTestSubgrid
101,/src/unit_test_shr,unittestGlcMec.F90,ctsm_UnitTestGlcMec.F90,unittestGlcMec,ctsm_UnitTestGlcMec
102,/src/unit_test_shr,unittestTimeManagerMod.F90,ctsm_UnitTestTimeManager.F90,unittestTimeManagerMod,ctsm_UnitTestTimeManager
103,/src/unit_test_shr,unittestWaterTypeFactory.F90,ctsm_UnitTestWaterTypeFactory.F90,unittestWaterTypeFactory,ctsm_UnitTestWaterTypeFactory
104,/src/biogeochem,CNSharedParamsMod.F90,ctsm_CNSharedParams.F90,CNSharedParams,ctsm_CNSharedParams
105,/src/biogeochem,EDBGCDynMod.F90,ctsm_FatesBiogeochemDyn.F90,EDBGCDyn,ctsm_FatesBiogeochemDyn
106,/src/biogeochem,MEGANFactorsMod.F90,ctsm_MeganFactors.F90,MEGANFactors,ctsm_MeganFactors
107,/src/biogeochem,dynConsBiogeochemMod.F90,ctsm_DynConsBiogeochem.F90,DynConsBiogeochem,ctsm_DynConsBiogeochem
108,/src/biogeochem,CNFireLi2014Mod.F90,ctsm_CNFireLi2014.F90,CNFireLi2014,ctsm_CNFireLi2014
109,/src/biogeochem,CNRootDynMod.F90,ctsm_CNRootDyn.F90,CNRootDyn,ctsm_CNRootDyn
110,/src/biogeochem,CNFireMethodMod.F90,ctsm_CNFireMethod.F90,CNFireMethod,ctsm_CNFireMethod
111,/src/biogeochem,CNFireEmissionsMod.F90,ctsm_CNFireEmissions.F90,CNFireEmissions,ctsm_CNFireEmissions
112,/src/biogeochem,ch4varcon.F90,ctsm_MethaneVarCon.F90,Ch4varcon,ctsm_MethaneVarCon
113,/src/biogeochem,CNPrecisionControlMod.F90,ctsm_CNPrecisionControl.F90,CNPrecisionControl,ctsm_CNPrecisionControl
114,/src/biogeochem,CNCStateUpdate2Mod.F90,ctsm_CNCStateUpdate2.F90,CNCStateUpdate2,ctsm_CNCStateUpdate2
115,/src/biogeochem,SpeciesBaseType.F90,ctsm_SpeciesBaseType.F90,SpeciesBaseType,ctsm_SpeciesBaseType
116,/src/biogeochem,CNVegStateType.F90,ctsm_CNVegStateType.F90,CNVegStateType,ctsm_CNVegStateType
117,/src/biogeochem,ch4Mod.F90,ctsm_Methane.F90,Ch4,ctsm_Methane
118,/src/biogeochem,CNFireFactoryMod.F90,ctsm_CNFireFactory.F90,CNFireFactory,ctsm_CNFireFactory
119,/src/biogeochem,FireEmisFactorsMod.F90,ctsm_FireEmisFactors.F90,FireEmisFactors,ctsm_FireEmisFactors
120,/src/biogeochem,CNVegNitrogenFluxType.F90,ctsm_CNVegNitrogenFluxType.F90,CNVegNitrogenFluxType,ctsm_CNVegNitrogenFluxType
121,/src/biogeochem,CNVegStructUpdateMod.F90,ctsm_CNVegStructUpdate.F90,CNVegStructUpdate,ctsm_CNVegStructUpdate
122,/src/biogeochem,CNVegNitrogenStateType.F90,ctsm_CNVegNitrogenStateType.F90,CNVegNitrogenStateType,ctsm_CNVegNitrogenStateType
123,/src/biogeochem,dynCNDVMod.F90,ctsm_DynCNDV.F90,DynCNDV,ctsm_DynCNDV
124,/src/biogeochem,CNAnnualUpdateMod.F90,ctsm_CNAnnualUpdate.F90,CNAnnualUpdate,ctsm_CNAnnualUpdate
125,/src/biogeochem,CNVegCarbonStateType.F90,ctsm_CNVegCarbonStateType.F90,CNVegCarbonStateType,ctsm_CNVegCarbonStateType
126,/src/biogeochem,CNCStateUpdate3Mod.F90,ctsm_CNCStateUpdate3.F90,CNCStateUpdate3,ctsm_CNCStateUpdate3
127,/src/biogeochem,SpeciesIsotopeType.F90,ctsm_SpeciesIsotopeType.F90,SpeciesIsotopeType,ctsm_SpeciesIsotopeType
128,/src/biogeochem,NutrientCompetitionFactoryMod.F90,ctsm_NutrientCompetitionFactory.F90,NutrientCompetitionFactory,ctsm_NutrientCompetitionFactory
129,/src/biogeochem,CNVegCarbonFluxType.F90,ctsm_CNVegCarbonFluxType.F90,CNVegCarbonFluxType,ctsm_CNVegCarbonFluxType
130,/src/biogeochem,CNVegComputeSeedMod.F90,ctsm_CNVegComputeSeed.F90,CNVegComputeSeed,ctsm_CNVegComputeSeed
131,/src/biogeochem,CNFireNoFireMod.F90,ctsm_CNFireNoFire.F90,CNFireNoFire,ctsm_CNFireNoFire
132,/src/biogeochem,CNBalanceCheckMod.F90,ctsm_CNBalanceCheck.F90,CNBalanceCheck,ctsm_CNBalanceCheck
133,/src/biogeochem,CNVegetationFacade.F90,ctsm_CNVegetationFacade.F90,CNVegetationFacade,ctsm_CNVegetationFacade
